,index,Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Day,Feedback,correct
0,0,1,1,1,4,0.496,0.35,1,1,1
1,1,1,2,1,2,0.897,0.284,1,1,0
2,2,1,2,2,3,1.558,0.867,1,1,1
3,3,1,1,1,4,0.297,0.265,1,1,1
4,4,1,1,1,4,0.407,0.219,1,1,1
5,5,1,1,1,4,0.37,0.542,1,1,1
6,6,1,2,1,2,0.513,0.354,1,1,0
7,7,1,2,2,2,1.631,0.535,1,1,1
8,8,1,2,1,2,0.671,0.378,1,1,0
9,9,1,2,2,3,0.666,0.843,1,1,1
10,10,1,1,2,4,0.665,0.478,1,1,0
11,11,1,2,1,2,1.533,0.441,1,1,0
12,12,1,1,2,3,0.759,0.577,1,1,0
13,13,1,1,1,4,0.354,0.32,1,1,1
14,14,1,2,1,3,0.517,0.522,1,1,0
15,15,1,2,2,2,1.488,0.535,1,1,1
16,16,1,2,2,2,0.559,1.034,1,1,1
17,17,1,1,1,2,0.38,1.257,1,1,1
18,18,1,2,2,3,0.77,0.557,1,1,1
19,19,1,2,1,2,0.546,0.646,1,1,0
20,20,1,2,2,2,1.072,0.719,1,1,1
21,21,1,2,1,3,0.471,0.883,1,1,0
22,22,1,1,1,4,0.661,0.771,1,1,1
23,23,1,2,1,2,0.57,0.917,1,1,0
24,24,1,1,1,3,0.358,0.694,1,1,1
25,25,1,2,1,2,1.311,0.245,1,1,0
26,26,1,1,1,4,0.313,0.3,1,1,1
27,27,1,1,1,2,0.913,0.656,1,1,1
28,28,1,1,2,2,0.692,0.515,1,1,0
29,29,1,2,2,2,1.089,0.469,1,1,1
30,30,1,2,1,2,0.754,0.315,1,1,0
31,31,1,1,2,2,1.138,0.586,1,1,0
32,32,1,2,1,3,0.483,0.979,1,1,0
33,34,1,1,1,4,0.275,0.265,1,1,1
34,35,1,1,1,3,0.287,0.427,1,1,1
35,36,1,1,1,3,0.623,0.389,1,1,1
36,37,1,2,2,2,0.892,0.289,1,1,1
37,38,1,1,1,4,0.34,0.234,1,1,1
38,39,1,1,1,4,0.455,0.324,1,1,1
39,40,1,1,1,4,0.273,0.195,1,1,1
40,41,1,1,1,4,0.281,0.206,1,1,1
41,42,1,2,1,3,0.733,0.616,1,1,0
